Pergunta;Comparacao;Variante_A;Variante_B;SoftDice;Impacto;N_Tabelas;Wilcoxon_stat;p_value;p_adj_fdr;significant;Modelo
P3;rows+ambos vs rows;v17_sample_rows_plus_both_values;v07_plus_sample_rows;0,7525484967798427;0,14345150322015732;24;44,0;0,0015796422958374023;0,002567592521659052;True;MISTRAL
P3;full vs full-sem-rows;v01_full;v25_full_no_sample_rows;0,7594650034523949;0,13653499654760515;24;65,0;0,015148080897183062;0,015148080897183062;True;MISTRAL
P4;FK+sample_val vs sample_val;v08_fk_plus_sample_values;v05_plus_sample_values;0,7885898956756856;0,10741010432431441;24;53,0;0,005578667930004651;0,009846793992053208;True;MISTRAL
P4;FK+freq_val vs freq_val;v09_fk_plus_frequent_values;v06_plus_frequent_values;0,779942541228949;0,116057458771051;24;95,0;0,1159900749753095;0,1159900749753095;False;MISTRAL
P4;FK+ambos vs FK+sample_val;v10_fk_plus_sample_and_frequent;v08_fk_plus_sample_values;0,7559152659554021;0,14008473404459787;24;46,0;0,0020009279251098633;0,009846793992053208;True;MISTRAL
P4;FK+rows vs rows;v11_fk_plus_sample_rows;v07_plus_sample_rows;0,8044105129220904;0,09158948707790959;24;57,0;0,007877435193642568;0,009846793992053208;True;MISTRAL
P4;FK isolado vs baseline;v02_plus_fk;v00_baseline;0,7476628764402976;0,1483371235597024;24;57,0;0,007867932494267338;0,009846793992053208;True;MISTRAL
P5;nullable+sample_val vs sample_val;v12_nullable_plus_sample_values;v05_plus_sample_values;0,8358942425719574;0,06010575742804258;24;109,0;0,24130647058703092;0,3217419607827079;False;MISTRAL
P5;nullable+freq_val vs freq_val;v13_nullable_plus_frequent_values;v06_plus_frequent_values;0,8016525749186018;0,09434742508139826;24;65,0;0,015153259504322706;0,03030651900864541;True;MISTRAL
P5;nullable+numeric_stats vs numeric_stats;v14_nullable_plus_numeric_stats;v04_plus_numeric_stats;0,787929290818813;0,108070709181187;24;56,0;0,007204886709972578;0,02881954683989031;True;MISTRAL
P5;nullable isolado vs baseline;v03_plus_nullable;v00_baseline;0,8650977408799019;0,03090225912009814;24;125,0;0,4742602070710513;0,4742602070710513;False;MISTRAL
