schema,table,row_count,column_count,pk,status,execution_seconds,attempts,processed_at,error
magento2,sales_invoice_comment,0,6,entity_id,success,0.01,1,2026-09-13T18:56:39.765028,
magento2,sales_invoice_grid,0,15,entity_id,success,0.01,1,2026-09-13T18:56:39.887289,
magento2,sales_invoice_item,0,34,entity_id,success,0.02,1,2026-09-13T18:56:40.041909,
magento2,sales_invoiced_aggregated,0,9,id,success,0.01,1,2026-09-13T18:56:40.178118,
magento2,sales_invoiced_aggregated_order,0,9,id,success,0.01,1,2026-09-13T18:56:40.319427,
magento2,sales_order,0,136,entity_id,success,0.03,1,2026-09-13T18:56:40.602183,
magento2,sales_order_address,0,26,entity_id,success,0.01,1,2026-09-13T18:56:40.712185,
magento2,sales_order_aggregated_created,0,20,id,success,0.01,1,2026-09-13T18:56:40.870434,
magento2,sales_order_aggregated_updated,0,20,id,success,0.01,1,2026-09-13T18:56:41.071415,
magento2,sales_order_grid,0,16,entity_id,success,0.01,1,2026-09-13T18:56:41.267746,
magento2,sales_order_item,0,81,item_id,success,0.05,1,2026-09-13T18:56:41.509253,
magento2,sales_order_payment,0,54,entity_id,success,0.02,1,2026-09-13T18:56:41.670656,
magento2,sales_order_status,18,2,status,success,0.01,1,2026-09-13T18:56:41.898341,
magento2,sales_order_status_history,0,8,entity_id,success,0.01,1,2026-09-13T18:56:42.049430,
magento2,sales_order_status_label,0,3,status|store_id,success,0.01,1,2026-09-13T18:56:42.200081,
magento2,sales_order_status_state,11,4,status|state,success,0.04,1,2026-09-13T18:56:42.417243,
magento2,sales_order_tax,0,12,tax_id,success,0.0,1,2026-09-13T18:56:42.566576,
magento2,sales_order_tax_item,0,10,tax_item_id,success,0.01,1,2026-09-13T18:56:42.710585,
magento2,sales_payment_transaction,0,10,transaction_id,success,0.01,1,2026-09-13T18:56:42.915208,
magento2,sales_quote,0,51,entity_id,success,0.02,1,2026-09-13T18:56:43.063642,
magento2,sales_quote_address,0,62,address_id,success,0.02,1,2026-09-13T18:56:43.310657,
magento2,sales_quote_address_item,0,40,address_item_id,success,0.01,1,2026-09-13T18:56:43.516160,
magento2,sales_quote_item,0,53,item_id,success,0.02,1,2026-09-13T18:56:43.709053,
magento2,sales_quote_item_option,0,5,option_id,success,0.01,1,2026-09-13T18:56:43.904594,
magento2,sales_quote_payment,0,19,payment_id,success,0.01,1,2026-09-13T18:56:44.063918,
magento2,sales_quote_shipping_rate,0,12,rate_id,success,0.01,1,2026-09-13T18:56:44.234809,
magento2,sales_refunded_aggregated,0,8,id,success,0.01,1,2026-09-13T18:56:44.396561,
magento2,sales_refunded_aggregated_order,0,8,id,success,0.01,1,2026-09-13T18:56:44.549222,
magento2,sales_shipment,0,15,entity_id,success,0.01,1,2026-09-13T18:56:44.702603,
magento2,sales_shipment_comment,0,6,entity_id,success,0.01,1,2026-09-13T18:56:44.852243,
magento2,sales_shipment_grid,0,10,entity_id,success,0.01,1,2026-09-13T18:56:45.014577,
magento2,sales_shipment_item,0,12,entity_id,success,0.01,1,2026-09-13T18:56:45.166619,
magento2,sales_shipment_track,0,11,entity_id,success,0.01,1,2026-09-13T18:56:45.340148,
magento2,sales_shipping_aggregated,0,8,id,success,0.01,1,2026-09-13T18:56:45.493554,
